freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,4.0,0.0,0.0,54.147,45.649,2.351,9.610,-1.350,10.961
1800.0,4.0,0.0,0.0,16.304,57.920,7.372,8.561,-68.448,77.010
1840.0,4.0,0.0,0.0,10.226,94.933,22.675,5.294,-1.078,6.372
1880.0,4.0,0.0,0.0,13.919,133.921,29.606,-1.975,3.087,-5.062
1710.0,4.0,1.0,0.0,56.752,37.170,2.004,9.517,-2.104,11.621
1800.0,4.0,1.0,0.0,11.013,76.148,15.225,7.206,-6.820,14.025
1840.0,4.0,1.0,0.0,10.670,114.221,29.321,1.544,1.908,-0.363
1880.0,4.0,1.0,0.0,18.463,152.518,28.240,-6.417,3.883,-10.300
1710.0,4.0,-1.0,0.0,45.364,47.333,2.615,9.668,-0.853,10.521
1800.0,4.0,-1.0,0.0,26.544,42.001,3.454,9.170,-9.332,18.501
1840.0,4.0,-1.0,0.0,12.485,75.579,13.330,7.632,-7.821,15.453
1880.0,4.0,-1.0,0.0,11.467,113.783,27.134,2.796,1.567,1.229
1710.0,4.0,3.0,0.0,30.707,33.364,2.580,9.141,-6.067,15.208
1800.0,4.0,3.0,0.0,9.861,112.952,31.112,0.563,2.052,-1.490
1840.0,4.0,3.0,0.0,17.206,149.674,29.256,-3.224,4.112,-7.336
1880.0,4.0,3.0,0.0,24.158,194.536,33.854,1.142,4.854,-3.712
1710.0,4.0,-3.0,0.0,29.763,36.339,2.806,9.651,0.015,9.636
1800.0,4.0,-3.0,0.0,54.444,34.332,1.919,9.580,-2.921,12.501
1840.0,4.0,-3.0,0.0,29.727,41.506,3.114,9.311,-8.780,18.090
1880.0,4.0,-3.0,0.0,14.533,73.352,11.045,8.127,-9.875,18.002
1710.0,4.0,0.0,1.0,56.765,45.246,2.303,9.616,-1.371,10.987
1800.0,4.0,0.0,1.0,16.828,58.584,7.249,8.557,-35.296,43.853
1840.0,4.0,0.0,1.0,10.834,96.617,22.020,5.212,-0.918,6.130
1880.0,4.0,0.0,1.0,15.052,136.786,28.449,-2.157,3.097,-5.254
1710.0,4.0,0.0,-1.0,51.413,45.880,2.404,9.604,-1.327,10.931
1800.0,4.0,0.0,-1.0,15.768,57.210,7.504,8.566,-35.462,44.027
1840.0,4.0,0.0,-1.0,9.636,93.184,23.361,5.378,-1.248,6.626
1880.0,4.0,0.0,-1.0,12.845,130.974,30.827,-1.778,3.073,-4.851
1710.0,4.0,0.0,3.0,61.622,43.993,2.222,9.625,-1.409,11.034
1800.0,4.0,0.0,3.0,17.844,59.790,7.023,8.550,-26.052,34.602
1840.0,4.0,0.0,3.0,12.102,99.809,20.789,5.057,-0.627,5.684
1880.0,4.0,0.0,3.0,17.504,142.286,26.301,-2.469,3.108,-5.577
1710.0,4.0,0.0,-3.0,45.638,45.767,2.531,9.587,-1.275,10.862
1800.0,4.0,0.0,-3.0,14.656,55.636,7.801,8.575,-25.575,34.150
1840.0,4.0,0.0,-3.0,8.501,89.469,24.844,5.553,-1.626,7.179
1880.0,4.0,0.0,-3.0,10.860,124.819,33.484,-1.339,3.035,-4.373
