freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,4.0,0.0,0.0,9.220,35.996,8.298,11.077,0.471,10.606
1800.0,4.0,0.0,0.0,28.382,75.771,6.214,11.076,1.518,9.557
1840.0,4.0,0.0,0.0,29.217,73.491,5.821,11.487,-2.528,14.015
1880.0,4.0,0.0,0.0,8.147,103.276,32.455,11.076,3.029,8.047
1710.0,4.0,1.0,0.0,10.580,44.525,8.568,11.187,1.019,10.168
1800.0,4.0,1.0,0.0,34.303,76.276,5.349,11.176,0.609,10.567
1840.0,4.0,1.0,0.0,14.277,82.824,13.322,11.793,-4.828,16.621
1880.0,4.0,1.0,0.0,7.893,126.021,46.713,6.323,6.928,-0.605
1710.0,4.0,-1.0,0.0,8.192,27.802,8.029,10.876,0.327,10.549
1800.0,4.0,-1.0,0.0,22.066,69.209,6.904,11.068,1.769,9.298
1840.0,4.0,-1.0,0.0,34.199,76.257,5.360,11.195,0.026,11.169
1880.0,4.0,-1.0,0.0,17.037,82.879,11.250,11.863,-5.782,17.645
1710.0,4.0,3.0,0.0,15.432,62.564,8.504,11.177,2.228,8.949
1800.0,4.0,3.0,0.0,12.493,81.731,14.879,11.676,-4.385,16.061
1840.0,4.0,3.0,0.0,7.502,125.553,48.818,4.445,6.927,-2.482
1880.0,4.0,3.0,0.0,18.861,167.054,32.589,-2.706,6.617,-9.322
1710.0,4.0,-3.0,0.0,6.732,12.161,7.874,10.124,1.816,8.308
1800.0,4.0,-3.0,0.0,14.364,51.363,7.305,11.057,1.441,9.616
1840.0,4.0,-3.0,0.0,23.278,68.664,6.511,11.030,1.416,9.613
1880.0,4.0,-3.0,0.0,33.943,76.268,5.394,11.187,-0.497,11.684
1710.0,4.0,0.0,1.0,10.801,39.576,7.614,11.074,0.478,10.595
1800.0,4.0,0.0,1.0,32.749,80.106,5.932,11.060,1.429,9.631
1840.0,4.0,0.0,1.0,32.362,76.255,5.608,11.491,-2.758,14.249
1880.0,4.0,0.0,1.0,9.311,109.090,31.086,11.035,3.138,7.897
1710.0,4.0,0.0,-1.0,7.774,32.365,9.173,11.076,0.477,10.599
1800.0,4.0,0.0,-1.0,24.283,71.089,6.554,11.091,1.610,9.481
1840.0,4.0,0.0,-1.0,26.079,70.384,6.073,11.483,-2.295,13.778
1880.0,4.0,0.0,-1.0,7.059,97.289,34.010,11.117,2.912,8.205
1710.0,4.0,0.0,3.0,14.371,46.536,6.630,11.058,0.518,10.540
1800.0,4.0,0.0,3.0,42.180,87.630,5.488,11.028,1.257,9.771
1840.0,4.0,0.0,3.0,38.598,80.841,5.264,11.497,-3.214,14.711
1880.0,4.0,0.0,3.0,11.884,120.258,28.749,10.952,3.334,7.617
1710.0,4.0,0.0,-3.0,5.287,25.006,11.844,11.055,0.554,10.501
1800.0,4.0,0.0,-3.0,16.975,60.787,7.506,11.121,1.804,9.317
1840.0,4.0,0.0,-3.0,19.921,63.060,6.752,11.472,-1.813,13.285
1880.0,4.0,0.0,-3.0,5.110,84.713,37.950,11.199,2.642,8.557
