freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,3.0,0.0,0.0,39.354,50.728,3.036,9.017,1.058,7.958
1720.0,3.0,0.0,0.0,30.598,39.857,2.945,8.199,-0.565,8.765
1730.0,3.0,0.0,0.0,14.761,49.473,6.853,5.686,-1.045,6.731
1740.0,3.0,0.0,0.0,10.556,65.228,12.932,-0.318,1.985,-2.303
1750.0,3.0,0.0,0.0,11.533,78.856,15.284,-6.209,3.643,-9.851
1760.0,3.0,0.0,0.0,14.277,90.743,15.258,-4.398,4.196,-8.594
1770.0,3.0,0.0,0.0,17.844,101.656,14.673,-2.521,4.353,-6.874
1780.0,3.0,0.0,0.0,21.981,112.019,14.061,-1.547,4.363,-5.910
1790.0,3.0,0.0,0.0,26.625,122.050,13.526,-1.033,4.311,-5.343
1800.0,3.0,0.0,0.0,31.773,131.856,13.077,-0.752,4.231,-4.983
1810.0,3.0,0.0,0.0,37.438,141.485,12.700,-0.597,4.138,-4.735
1820.0,3.0,0.0,0.0,43.640,150.952,12.381,-0.514,4.039,-4.554
1830.0,3.0,0.0,0.0,50.399,160.251,12.108,-0.474,3.939,-4.413
1840.0,3.0,0.0,0.0,57.732,169.361,11.873,-0.460,3.838,-4.299
1850.0,3.0,0.0,0.0,65.651,178.252,11.669,-0.463,3.739,-4.202
1860.0,3.0,0.0,0.0,74.166,186.885,11.489,-0.475,3.642,-4.117
1870.0,3.0,0.0,0.0,83.280,195.216,11.330,-0.494,3.547,-4.041
1880.0,3.0,0.0,0.0,92.993,203.198,11.188,-0.518,3.455,-3.972
1710.0,4.0,0.0,0.0,8.982,55.480,12.520,1.921,1.245,0.677
1720.0,4.0,0.0,0.0,9.062,68.966,16.134,-3.630,3.415,-7.045
1730.0,4.0,0.0,0.0,11.050,80.796,16.501,-3.837,4.201,-8.038
1740.0,4.0,0.0,0.0,13.926,91.737,15.893,-2.277,4.449,-6.726
1750.0,4.0,0.0,0.0,17.409,102.232,15.161,-1.296,4.498,-5.794
1760.0,4.0,0.0,0.0,21.434,112.514,14.505,-0.749,4.465,-5.214
1770.0,4.0,0.0,0.0,26.006,122.709,13.951,-0.443,4.396,-4.839
1780.0,4.0,0.0,0.0,31.156,132.877,13.488,-0.271,4.309,-4.580
1790.0,4.0,0.0,0.0,36.927,143.043,13.098,-0.177,4.215,-4.392
1800.0,4.0,0.0,0.0,43.367,153.209,12.767,-0.129,4.118,-4.247
1810.0,4.0,0.0,0.0,50.523,163.354,12.483,-0.111,4.019,-4.131
1820.0,4.0,0.0,0.0,58.447,173.447,12.237,-0.111,3.922,-4.033
1830.0,4.0,0.0,0.0,67.186,183.440,12.022,-0.123,3.827,-3.950
1840.0,4.0,0.0,0.0,76.787,193.273,11.832,-0.142,3.733,-3.876
1850.0,4.0,0.0,0.0,87.290,202.873,11.663,-0.166,3.643,-3.809
1860.0,4.0,0.0,0.0,98.732,212.156,11.512,-0.193,3.554,-3.748
1870.0,4.0,0.0,0.0,111.138,221.024,11.376,-0.222,3.469,-3.691
1880.0,4.0,0.0,0.0,124.526,229.370,11.253,-0.253,3.386,-3.638
1710.0,6.0,0.0,0.0,16.807,103.766,16.062,-0.133,4.790,-4.923
1720.0,6.0,0.0,0.0,21.096,115.339,15.339,0.146,4.730,-4.585
1730.0,6.0,0.0,0.0,26.188,127.278,14.737,0.308,4.649,-4.340
1740.0,6.0,0.0,0.0,32.205,139.643,14.237,0.399,4.557,-4.158
1750.0,6.0,0.0,0.0,39.297,152.465,13.817,0.445,4.461,-4.016
1760.0,6.0,0.0,0.0,47.642,165.745,13.461,0.463,4.364,-3.901
1770.0,6.0,0.0,0.0,57.444,179.454,13.156,0.462,4.268,-3.806
1780.0,6.0,0.0,0.0,68.937,193.522,12.892,0.449,4.174,-3.724
1790.0,6.0,0.0,0.0,82.384,207.829,12.661,0.429,4.082,-3.653
1800.0,6.0,0.0,0.0,98.071,222.186,12.459,0.403,3.992,-3.589
1810.0,6.0,0.0,0.0,116.304,236.324,12.279,0.373,3.905,-3.531
1820.0,6.0,0.0,0.0,137.386,249.866,12.118,0.342,3.820,-3.478
1830.0,6.0,0.0,0.0,161.597,262.305,11.973,0.310,3.739,-3.429
1840.0,6.0,0.0,0.0,189.151,272.988,11.843,0.276,3.659,-3.383
1850.0,6.0,0.0,0.0,220.136,281.105,11.724,0.243,3.583,-3.340
1860.0,6.0,0.0,0.0,254.444,285.700,11.615,0.210,3.509,-3.299
1870.0,6.0,0.0,0.0,291.682,285.712,11.516,0.176,3.437,-3.260
1880.0,6.0,0.0,0.0,331.093,280.072,11.424,0.144,3.367,-3.223
