freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
880.0,4.0,0.0,0.0,46.743,45.163,2.473,9.657,-2.485,12.142
885.0,4.0,0.0,0.0,48.565,43.961,2.376,9.648,-2.950,12.598
890.0,4.0,0.0,0.0,48.284,41.984,2.296,9.639,-3.599,13.238
895.0,4.0,0.0,0.0,45.429,40.276,2.286,9.630,-4.531,14.161
900.0,4.0,0.0,0.0,40.230,40.106,2.437,9.615,-5.924,15.539
905.0,4.0,0.0,0.0,33.642,42.399,2.881,9.582,-8.154,17.736
910.0,4.0,0.0,0.0,26.892,47.344,3.801,9.511,-12.248,21.759
915.0,4.0,0.0,0.0,20.946,54.497,5.459,9.363,-22.926,32.288
920.0,4.0,0.0,0.0,16.289,63.163,8.171,9.075,-14.230,23.305
925.0,4.0,0.0,0.0,13.009,72.705,12.148,8.561,-6.628,15.189
930.0,4.0,0.0,0.0,10.978,82.671,17.167,7.722,-2.348,10.070
935.0,4.0,0.0,0.0,10.000,92.787,22.374,6.491,0.419,6.073
940.0,4.0,0.0,0.0,9.882,102.908,26.653,4.884,2.216,2.668
945.0,4.0,0.0,0.0,10.463,112.968,29.347,3.030,3.342,-0.312
950.0,4.0,0.0,0.0,11.623,122.948,30.512,1.161,4.015,-2.854
955.0,4.0,0.0,0.0,13.272,132.853,30.597,-0.421,4.396,-4.817
960.0,4.0,0.0,0.0,15.348,142.697,30.065,-1.461,4.597,-6.058
880.0,6.0,0.0,0.0,38.845,28.467,1.975,9.603,-4.586,14.189
885.0,6.0,0.0,0.0,32.329,30.152,2.326,9.560,-6.222,15.782
890.0,6.0,0.0,0.0,25.763,34.434,3.048,9.490,-8.866,18.356
895.0,6.0,0.0,0.0,20.024,40.774,4.327,9.367,-14.017,23.384
900.0,6.0,0.0,0.0,15.487,48.482,6.418,9.152,-66.094,75.246
905.0,6.0,0.0,0.0,12.175,56.987,9.581,8.785,-12.433,21.218
910.0,6.0,0.0,0.0,9.950,65.905,13.883,8.190,-5.852,14.042
915.0,6.0,0.0,0.0,8.630,75.015,18.954,7.291,-2.014,9.305
920.0,6.0,0.0,0.0,8.050,84.203,23.945,6.050,0.507,5.544
925.0,6.0,0.0,0.0,8.075,93.421,27.933,4.501,2.174,2.327
930.0,6.0,0.0,0.0,8.607,102.659,30.439,2.766,3.249,-0.483
935.0,6.0,0.0,0.0,9.573,111.927,31.555,1.047,3.919,-2.871
940.0,6.0,0.0,0.0,10.927,121.242,31.667,-0.409,4.320,-4.729
945.0,6.0,0.0,0.0,12.638,130.628,31.181,-1.403,4.551,-5.954
950.0,6.0,0.0,0.0,14.688,140.111,30.395,-1.898,4.674,-6.572
955.0,6.0,0.0,0.0,17.071,149.720,29.499,-2.015,4.730,-6.745
960.0,6.0,0.0,0.0,19.786,159.491,28.600,-1.930,4.747,-6.678
880.0,8.0,0.0,0.0,17.077,34.472,4.436,9.263,-12.605,21.868
885.0,8.0,0.0,0.0,13.262,41.946,6.536,9.036,-26.972,36.007
890.0,8.0,0.0,0.0,10.508,49.972,9.618,8.672,-14.664,23.337
895.0,8.0,0.0,0.0,8.645,58.295,13.745,8.110,-7.110,15.219
900.0,8.0,0.0,0.0,7.511,66.780,18.628,7.285,-2.951,10.235
905.0,8.0,0.0,0.0,6.970,75.370,23.572,6.160,-0.231,6.391
910.0,8.0,0.0,0.0,6.921,84.050,27.743,4.753,1.603,3.150
915.0,8.0,0.0,0.0,7.292,92.829,30.604,3.151,2.823,0.328
920.0,8.0,0.0,0.0,8.036,101.726,32.105,1.513,3.616,-2.103
925.0,8.0,0.0,0.0,9.124,110.769,32.528,0.039,4.117,-4.078
930.0,8.0,0.0,0.0,10.540,119.991,32.244,-1.083,4.425,-5.508
935.0,8.0,0.0,0.0,12.284,129.429,31.560,-1.774,4.607,-6.381
940.0,8.0,0.0,0.0,14.365,139.129,30.686,-2.098,4.710,-6.808
945.0,8.0,0.0,0.0,16.810,149.154,29.745,-2.210,4.766,-6.977
950.0,8.0,0.0,0.0,19.684,159.616,28.786,-2.291,4.800,-7.091
955.0,8.0,0.0,0.0,23.183,170.764,27.741,-2.593,4.847,-7.440
960.0,8.0,0.0,0.0,28.408,183.228,25.926,-3.949,5.012,-8.962
