freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
880.0,4.0,0.0,0.0,28.480,53.432,4.085,10.207,-11.016,21.223
885.0,4.0,0.0,0.0,29.653,58.389,4.349,10.307,-9.036,19.343
890.0,4.0,0.0,0.0,30.975,63.573,4.627,10.406,-7.104,17.510
895.0,4.0,0.0,0.0,32.539,69.008,4.911,10.501,-5.398,15.899
900.0,4.0,0.0,0.0,34.466,74.704,5.186,10.591,-3.924,14.515
905.0,4.0,0.0,0.0,36.919,80.655,5.433,10.674,-2.654,13.328
910.0,4.0,0.0,0.0,40.121,86.814,5.628,10.746,-1.559,12.305
915.0,4.0,0.0,0.0,44.385,93.060,5.742,10.807,-0.617,11.424
920.0,4.0,0.0,0.0,50.146,99.114,5.744,10.855,0.186,10.669
925.0,4.0,0.0,0.0,57.979,104.357,5.600,10.891,0.862,10.029
930.0,4.0,0.0,0.0,68.491,107.468,5.283,10.915,1.415,9.500
935.0,4.0,0.0,0.0,81.692,105.816,4.778,10.933,1.851,9.082
940.0,4.0,0.0,0.0,94.913,95.286,4.094,10.949,2.172,8.777
945.0,4.0,0.0,0.0,99.530,74.002,3.289,10.973,2.380,8.593
950.0,4.0,0.0,0.0,85.683,51.676,2.524,11.017,2.481,8.536
955.0,4.0,0.0,0.0,59.137,44.241,2.245,11.093,2.490,8.603
960.0,4.0,0.0,0.0,35.207,52.624,3.404,11.213,2.459,8.754
880.0,6.0,0.0,0.0,28.839,61.852,4.753,10.838,-4.492,15.330
885.0,6.0,0.0,0.0,31.244,67.801,4.966,10.928,-2.987,13.915
890.0,6.0,0.0,0.0,34.520,74.062,5.122,11.005,-1.706,12.711
895.0,6.0,0.0,0.0,39.075,80.527,5.187,11.064,-0.618,11.683
900.0,6.0,0.0,0.0,45.523,86.885,5.130,11.106,0.301,10.805
905.0,6.0,0.0,0.0,54.738,92.330,4.920,11.130,1.070,10.060
910.0,6.0,0.0,0.0,67.694,94.894,4.532,11.136,1.699,9.438
915.0,6.0,0.0,0.0,84.162,90.297,3.963,11.130,2.197,8.933
920.0,6.0,0.0,0.0,98.252,72.511,3.235,11.117,2.573,8.544
925.0,6.0,0.0,0.0,95.145,44.183,2.427,11.106,2.832,8.274
930.0,6.0,0.0,0.0,70.518,25.992,1.734,11.110,2.986,8.124
935.0,6.0,0.0,0.0,42.909,28.223,1.856,11.140,3.052,8.088
940.0,6.0,0.0,0.0,24.094,41.286,3.702,11.209,3.075,8.135
945.0,6.0,0.0,0.0,13.314,56.690,8.735,11.321,3.164,8.156
950.0,6.0,0.0,0.0,7.430,71.460,20.574,11.446,3.560,7.886
955.0,6.0,0.0,0.0,4.301,85.060,45.335,11.472,4.593,6.879
960.0,6.0,0.0,0.0,2.750,97.643,87.551,11.105,6.265,4.841
880.0,8.0,0.0,0.0,38.240,74.616,4.775,11.239,-0.108,11.346
885.0,8.0,0.0,0.0,46.731,81.046,4.598,11.268,0.825,10.443
890.0,8.0,0.0,0.0,59.422,85.507,4.256,11.275,1.595,9.679
895.0,8.0,0.0,0.0,77.263,83.701,3.738,11.260,2.217,9.043
900.0,8.0,0.0,0.0,95.836,67.529,3.064,11.229,2.701,8.528
905.0,8.0,0.0,0.0,97.447,35.840,2.289,11.189,3.057,8.132
910.0,8.0,0.0,0.0,72.462,13.080,1.535,11.151,3.295,7.856
915.0,8.0,0.0,0.0,43.193,13.985,1.395,11.128,3.428,7.700
920.0,8.0,0.0,0.0,23.953,26.690,2.805,11.133,3.478,7.655
925.0,8.0,0.0,0.0,13.251,41.487,6.482,11.177,3.497,7.680
930.0,8.0,0.0,0.0,7.437,55.439,15.071,11.259,3.609,7.651
935.0,8.0,0.0,0.0,4.262,68.163,33.593,11.339,4.067,7.272
940.0,8.0,0.0,0.0,2.558,79.889,69.496,11.271,5.181,6.090
945.0,8.0,0.0,0.0,1.729,90.915,124.535,10.710,6.842,3.868
950.0,8.0,0.0,0.0,1.466,101.489,174.633,9.189,8.291,0.898
955.0,8.0,0.0,0.0,1.602,111.803,187.235,6.655,8.961,-2.306
960.0,8.0,0.0,0.0,2.050,122.001,169.667,3.742,9.003,-5.262
