freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
900.0,6.0,0.0,0.0,31.773,131.856,13.077,-0.752,4.231,-4.983
925.0,6.0,0.0,0.0,65.651,178.252,11.669,-0.463,3.739,-4.202
945.0,6.0,0.0,0.0,103.297,210.779,11.062,-0.544,3.365,-3.909
960.0,6.0,0.0,0.0,137.582,230.588,10.751,-0.628,3.112,-3.740
900.0,6.0,1.0,0.0,36.571,140.768,12.858,-0.564,4.149,-4.713
925.0,6.0,1.0,0.0,72.647,186.427,11.623,-0.460,3.651,-4.111
945.0,6.0,1.0,0.0,112.116,217.975,11.074,-0.558,3.288,-3.846
960.0,6.0,1.0,0.0,147.657,236.715,10.789,-0.644,3.043,-3.688
900.0,6.0,-1.0,0.0,27.241,122.679,13.355,-1.098,4.298,-5.396
925.0,6.0,-1.0,0.0,58.932,169.869,11.735,-0.480,3.830,-4.309
945.0,6.0,-1.0,0.0,94.730,203.328,11.060,-0.531,3.446,-3.977
960.0,6.0,-1.0,0.0,127.720,224.168,10.722,-0.611,3.185,-3.796
900.0,6.0,3.0,0.0,46.951,157.987,12.557,-0.412,3.971,-4.383
925.0,6.0,3.0,0.0,87.441,202.174,11.583,-0.478,3.486,-3.964
945.0,6.0,3.0,0.0,130.472,231.611,11.126,-0.591,3.145,-3.736
960.0,6.0,3.0,0.0,168.414,248.103,10.883,-0.676,2.917,-3.593
900.0,6.0,-3.0,0.0,19.055,103.105,14.092,-3.066,4.295,-7.361
925.0,6.0,-3.0,0.0,46.351,152.443,11.949,-0.604,4.014,-4.618
945.0,6.0,-3.0,0.0,78.395,187.649,11.099,-0.523,3.619,-4.142
960.0,6.0,-3.0,0.0,108.682,210.430,10.689,-0.582,3.341,-3.924
900.0,6.0,0.0,1.0,33.029,133.183,12.837,-0.761,4.198,-4.960
925.0,6.0,0.0,1.0,68.108,179.538,11.475,-0.475,3.707,-4.182
945.0,6.0,0.0,1.0,106.844,211.491,10.886,-0.560,3.334,-3.893
960.0,6.0,0.0,1.0,141.863,230.480,10.584,-0.646,3.082,-3.728
900.0,6.0,0.0,-1.0,30.551,130.504,13.322,-0.743,4.264,-5.007
925.0,6.0,0.0,-1.0,63.246,176.892,11.866,-0.451,3.772,-4.222
945.0,6.0,0.0,-1.0,99.790,209.932,11.241,-0.529,3.397,-3.925
960.0,6.0,0.0,-1.0,133.302,230.510,10.922,-0.610,3.143,-3.754
900.0,6.0,0.0,3.0,35.650,135.755,12.374,-0.784,4.134,-4.918
925.0,6.0,0.0,3.0,73.171,181.878,11.098,-0.504,3.644,-4.148
945.0,6.0,0.0,3.0,114.032,212.494,10.544,-0.595,3.272,-3.867
960.0,6.0,0.0,3.0,150.388,229.695,10.259,-0.687,3.022,-3.709
900.0,6.0,0.0,-3.0,28.213,127.729,13.829,-0.728,4.330,-5.058
925.0,6.0,0.0,-3.0,58.596,173.968,12.274,-0.431,3.838,-4.268
945.0,6.0,0.0,-3.0,92.914,207.849,11.609,-0.502,3.462,-3.964
960.0,6.0,0.0,-3.0,124.785,229.804,11.272,-0.579,3.207,-3.786
